Project Ref;Calculation Design Stage;UK District;GIFA (m2);Project Value (œm);Value Type;Project Sector;Construction Type;Storeys (#);Passivhaus;Basement Type;Foundation Type;Ground Floor Type;Superstructure Type;Cladding Type;Carbon A1-A3 (kgCO2e);Carbon A1-A5 (kgCO2e);Carbon A1-C4 (kgCO2e);Carbon A1-D (kgCO2e);A1-A3 Rate (kgCO2e/m2);A1-A5 Rate (kgCO2e/m2);A1-C4 Rate (kgCO2e/m2);A1-D Rate (kgCO2e/m2);Construction Carbon (A1-A5) (kgCO2e);Construction % Carbon (A1-A5);Concrete Total Mass (kg);Concrete Total Carbon (A1-A5) (kgCO2e);Concrete % Carbon (A1-A5);Masonry & Blockwork Total Area (m2);Masonry & Blockwork Total Carbon (A1-A5) (kgCO2e);Masonry % Blockwork % Carbon (A1-A5);Reinforcement Total Mass (kg);Reinforcement Total Carbon (A1-A5) (kgCO2e);Reinforcement % Carbon (A1-A5);Steel (Other) Total Mass (kg);Steel (Other) Total Carbon (A1-A5) (kgCO2e);Steel (Other) % Carbon (A1-A5);Steel (Sections) Total Mass (kg);Steel (Sections) Total Carbon (A1-A5) (kgCO2e);Steel (Sections) % Carbon (A1-A5);Timber (Plain) Total Mass (kg);Timber (Plain) Total Carbon (A1-A5) (kgCO2e);Timber (Plain) % Carbon (A1-A5);Timber (Products) Total Mass (kg);Timber (Products) Total Carbon (A1-A5) (kgCO2e);Timber (Products) % Carbon (A1-A5)
213;Stage 5;NW6;520;1,6;Whole Building;Residential (Single);Full Refurb;4;No;Full Footprint;Reinforced Pads/Strips;Ground Bearing RC;Concrete (Precast);Masonry Only;155184;179077;186410;151549;298,4;344,4;358,5;291,4;11200;6,30%;441899;62083;34,70%;0;0;0,00%;31400;66861;37,30%;2341;7267;4,10%;18280;29214;16,30%;1990;989;0,60%;1493;1462;0,80%
214;Stage 2;B4;12023;45;Whole Building;Educational;New Build (Brownfield);5;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Other;Lightweight Only;4929411;5638064;5972558;4810337;410;468,9;496,8;400,1;315000;5,60%;19230480;1472831;26,10%;0;0;0,00%;815950;1737430;30,80%;103278;320596;5,70%;1121451;1792207;31,80%;0;0;0,00%;0;0;0,00%
215;Stage 3;TW3;3920;10;Whole Building;Mixed Use;New Build (Brownfield);9;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1065336;1228750;1289985;1095675;271,8;313,5;329,1;279,5;70000;5,70%;4690950;628153;51,10%;0;0;0,00%;241629;514509;41,90%;0;0;0,00%;10067;16088;1,30%;0;0;0,00%;0;0;0,00%
216;Stage 5;OX11;2850;6,7;Whole Building;Science/Lab;Full Refurb;4;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Composite;Masonry/SFS;446844;521519;542979;438866;156,8;183;190,5;154;46900;9,00%;743025;87981;16,90%;0;0;0,00%;21560;45908;8,80%;22000;68292;13,10%;170250;272079;52,20%;720;358;0,10%;0;0;0,00%
217;Stage 3;LS23;394;1,5;Whole Building;Other;Mixed New Build/Refurb;8;No;None;Reinforced Pads/Strips;Ground Bearing RC;Timber Frame (Glulam/CLT);Glazed/Curtain Wall;58843;76966;83966;73174;149,3;195,3;213,1;185,7;10500;13,60%;236330;30920;40,20%;0;0;0,00%;5062;10779;14,00%;0;0;0,00%;6249;9987;13,00%;0;0;0,00%;21709;14781;19,20%
218;Stage 3;LS23;3710;13;Whole Building;Industrial;New Build (Brownfield);1;Yes;None;Reinforced Pads/Strips;Ground Bearing RC;Steel Frame/Other;Lightweight Only;1825845;2016460;2073196;1663081;492,1;543,5;558,8;448,3;91000;4,50%;2854560;364276;18,10%;0;0;0,00%;231384;492693;24,40%;0;0;0,00%;668595;1068492;53,00%;0;0;0,00%;0;0;0,00%
219;Stage 3;LS23;1501;4;Whole Building;Industrial;New Build (Brownfield);1;Yes;None;Mass Pads/Strips;Ground Bearing RC;Timber Frame (Glulam/CLT);Lightweight Only;409327;535383;574913;448798;272,7;356,7;383;299;28000;5,20%;1435200;150830;28,20%;0;0;0,00%;33963;72319;13,50%;0;0;0,00%;0;0;0,00%;0;0;0,00%;461783;284234;53,10%
220;Stage 4;W1;6807;25;Whole Building;Commercial;Mixed New Build/Refurb;9;No;Full Footprint;Reinforced Pads/Strips;Ground Bearing RC;Steel Frame/Composite;Glazed/Curtain Wall;869952;1102925;1149232;952978;127,8;162;168,8;140;175000;15,90%;1769016;236884;21,50%;0;0;0,00%;73709;156951;14,20%;36988;114818;10,40%;262354;419272;38,00%;0;0;0,00%;0;0;0,00%
221;Stage 4;GU35;950;2;Whole Building;Residential (Single);New Build (Greenfield);1;No;None;Mass Pads/Strips;Ground Bearing RC;Timber Frame (Softwood);Stone;166857;213749;260229;216728;175,6;225;273,9;228,1;14000;6,50%;791582;89524;41,90%;0;0;0,00%;8558;18223;8,50%;0;0;0,00%;9501;15184;7,10%;117421;43173;20,20%;38436;33644;15,70%
222;Stage 5;CB1;420;3,4;Whole Building;Residential (Single);Full Refurb;3;No;None;Reinforced Pads/Strips;Ground Bearing RC;Steel Frame/Composite;Masonry Only;98653;129382;134581;116655;234,9;308,1;320,4;277,7;23800;18,40%;294723;37335;28,90%;0;0;0,00%;4787;10193;7,90%;2635;8180;6,30%;30770;49174;38,00%;480;239;0,20%;472;462;0,40%
223;Stage 4;OX29;286;4;Whole Building;Cultural/Public;New Build (Greenfield);4;No;Full Footprint;Raft;Raft;Steel Frame/Timber;Timber/SFS;102863;141849;148403;123333;359,7;496;518,9;431,2;28000;19,70%;354922;46341;32,70%;0;0;0,00%;20294;43213;30,50%;4416;13708;9,70%;2846;4548;3,20%;4888;2430;1,70%;5536;3609;2,50%
224;Stage 3;YO26;3655;18,5;Whole Building;Cultural/Public;New Build (Brownfield);2;No;None;Piled Ground Beams;Suspended RC;Timber Frame (Glulam/CLT);Masonry/Timber;806600;1033958;1113928;965157;220,7;282,9;304,8;264,1;129500;12,50%;3451300;430762;41,70%;0;0;0,00%;106199;226133;21,90%;3364;10443;1,00%;89079;142358;13,80%;83719;41617;4,00%;56497;53145;5,10%
225;Stage 5;LE67;2938;4,5;Whole Building;Industrial;New Build (Brownfield);1;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Other;Lightweight Only;579629;657235;696477;597240;197,3;223,7;237,1;203,3;31500;4,80%;2462472;285571;43,50%;0;0;0,00%;63444;135093;20,60%;8320;25827;3,90%;112160;179245;27,30%;0;0;0,00%;0;0;0,00%
226;Stage 5;LE11;2007;7;Whole Building;Educational;New Build (Brownfield);4;No;None;Piles (Pile Caps);Ground Bearing RC;Concrete (In-Situ);Masonry Only;573338;673908;708387;613678;285,7;335,8;353;305,8;49000;7,30%;2759376;369633;54,80%;0;0;0,00%;119885;255275;37,90%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
227;Stage 5;RG9;92;0,2;Whole Building;Residential (Single);New Build (Greenfield);1;No;None;Reinforced Pads/Strips;Ground Bearing RC;Timber Frame (Glulam/CLT);Timber Only;13709;20634;26357;21891;149;224,3;286,5;237,9;1400;6,80%;70512;8826;42,80%;0;0;0,00%;275;586;2,80%;0;0;0,00%;0;0;0,00%;19761;9823;47,60%;0;0;0,00%
228;Stage 4;SW15;890;2,2;Whole Building;Mixed Use;Mixed New Build/Refurb;4;No;Partial Footprint;Reinforced Pads/Strips;Other;Steel Frame/Timber;Masonry Only;59037;78331;84441;72526;66,3;88;94,9;81,5;15400;19,70%;101487;13651;17,40%;0;0;0,00%;542;1153;1,50%;679;2108;2,70%;26537;42409;54,10%;5658;2004;2,60%;1639;1606;2,00%
229;Stage 3;OX25;463;2;Whole Building;Cultural/Public;Full Refurb;1;No;None;Mass Pads/Strips;Ground Bearing RC;Masonry/Timber;Stone;11962;31450;36071;33899;25,8;67,9;77,9;73,2;14000;44,50%;16240;1244;4,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;1769;2827;9,00%;4163;2085;6,60%;3139;3075;9,80%
230;As-Built;DA8;2330;6,5;Whole Building;Industrial;New Build (Brownfield);1;No;None;Piles (Pile Caps);Suspended RC;Steel Frame/Other;Lightweight Only;803994;913283;961515;836646;345,1;392;412,7;359,1;45500;5,00%;3585916;439414;48,10%;0;0;0,00%;100103;213153;23,30%;0;0;0,00%;134669;215216;23,60%;0;0;0,00%;0;0;0,00%
231;Stage 3;W6;664;6;Whole Building;Educational;Full Refurb;3;No;None;Reinforced Pads/Strips;Ground Bearing RC;Timber Frame (Glulam/CLT);Lightweight Only;96634;154036;163576;140785;145,5;232;246,3;212;42000;27,30%;442037;45937;29,80%;0;0;0,00%;13398;28529;18,50%;0;0;0,00%;4184;6687;4,30%;0;0;0,00%;50156;30884;20,00%
232;Stage 3;NW6;3739;5,6;Structure Only;Commercial;New Build (Brownfield);5;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1155123;1335601;1400473;1188317;308,9;357,2;374,6;317,8;78400;5,90%;5118194;685364;51,30%;0;0;0,00%;268552;571837;42,80%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
233;Stage 3;NW6;6127;9,2;Structure Only;Residential (Multi);New Build (Brownfield);5;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1688219;1968148;2069012;1781505;275,5;321,2;337,7;290,8;128800;6,50%;7948800;1064403;54,10%;0;0;0,00%;363925;774917;39,40%;0;0;0,00%;17;27;0,00%;0;0;0,00%;0;0;0,00%
234;Stage 2;OX11;370;3,8;Whole Building;Science/Lab;New Build (Greenfield);2;No;None;Reinforced Pads/Strips;Ground Bearing RC;Other;Other;182832;222693;230625;196935;494,1;601,9;623,3;532,3;26600;11,90%;607500;82280;36,90%;0;0;0,00%;28120;59877;26,90%;0;0;0,00%;33750;53936;24,20%;0;0;0,00%;0;0;0,00%
235;Stage 4;NW4;1500;3,8;Whole Building;Residential (Multi);New Build (Brownfield);5;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;440980;506585;531667;451087;294;337,7;354,4;300,7;26600;5,30%;1962500;262793;51,90%;0;0;0,00%;102000;217192;42,90%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
236;Stage 3;NW4;2202;5;Whole Building;Residential (Multi);New Build (Brownfield);7;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;707826;803003;837613;682664;321,4;364,7;380,4;310;35000;4,40%;2583493;350360;43,60%;0;0;0,00%;196138;417643;52,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
237;Stage 4;OX17;140;1;Whole Building;Commercial;Full Refurb;1;No;None;Other;Other;Other;Other;4209;11827;12859;11609;30,1;84,5;91,8;82,9;7000;59,20%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;2325;3716;31,40%;1943;966;8,20%;195;145;1,20%
238;As-Built;OX11;240;1;Whole Building;Science/Lab;New Build (Greenfield);1;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Other;Lightweight/SFS;79698;93060;97311;81184;332,1;387,7;405,5;338,3;7000;7,50%;283650;33500;36,00%;0;0;0,00%;8900;18951;20,40%;2950;9157;9,80%;15300;24451;26,30%;0;0;0,00%;0;0;0,00%
239;Stage 4;SW3;711;3;Whole Building;Residential (Single);Full Refurb;3;No;Partial Footprint;Other;Suspended RC;Other;Other;61898;88689;95730;85747;87,1;124,7;134,6;120,6;21000;23,70%;266471;34907;39,40%;0;0;0,00%;6298;13410;15,10%;0;0;0,00%;9621;15375;17,30%;6261;2218;2,50%;1816;1779;2,00%
240;Stage 2;SE1;4663;13;Whole Building;Commercial;New Build (Brownfield);17;No;Full Footprint;Raft;Suspended RC;Concrete (In-Situ);Masonry/SFS;1299618;1497344;1553086;1260457;278,7;321,1;333,1;270,3;91000;6,10%;4108366;617606;41,20%;0;0;0,00%;370416;788739;52,70%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
241;Stage 2;NW6;31089;88;Whole Building;Residential (Multi);New Build (Brownfield);18;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;7718736;9019130;9477851;8086769;248,3;290,1;304,9;260,1;616000;6,80%;34752877;4653667;51,60%;0;0;0,00%;1760863;3749464;41,60%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
242;Stage 2;TW13;460;1,6;Whole Building;Residential (Multi);New Build (Brownfield);6;No;None;Piles (Pile Caps);Ground Bearing RC;Concrete (In-Situ);Masonry Only;200530;230253;241893;203240;435,9;500,5;525,9;441,8;11200;4,90%;922462;114016;49,50%;0;0;0,00%;38569;82127;35,70%;5017;15574;6,80%;4590;7336;3,20%;0;0;0,00%;0;0;0,00%
243;Stage 3;OX11;1600;3,5;Whole Building;Science/Lab;New Build (Brownfield);2;No;None;Raft;Raft;Steel Frame/Composite;Lightweight/SFS;452823;510053;531104;427891;283;318,8;331,9;267,4;24500;4,80%;1198000;144773;28,40%;0;0;0,00%;70000;149053;29,20%;10700;33215;6,50%;99000;158213;31,00%;600;298;0,10%;0;0;0,00%
244;Stage 2;W2;12100;62;Whole Building;Commercial;New Build (Brownfield);7;No;Extended Footprint;Piles (Pile Caps);Suspended RC;Steel Frame/Timber;Glazed/Curtain Wall;2739485;3474926;3623215;3039437;226,4;287,2;299,4;251,2;434000;12,50%;8554565;1150436;33,10%;0;0;0,00%;342000;728232;21,00%;4000;12417;0,40%;440900;704609;20,30%;0;0;0,00%;736800;445234;12,80%
245;Stage 2;SE17;27395;61,2;Whole Building;Residential (Multi);New Build (Brownfield);25;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;8013066;9130486;9548057;7854383;292,5;333,3;348,5;286,7;428400;4,70%;30894691;4137027;45,30%;0;0;0,00%;2143892;4565059;50,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
246;Stage 2;SE17;5200;9,8;Whole Building;Residential (Multi);New Build (Brownfield);6;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;1366692;1555026;1632381;1369274;262,8;299;313,9;263,3;68600;4,40%;5804455;777259;50,00%;0;0;0,00%;333046;709167;45,60%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
247;Stage 2;SE17;13808;29,6;Whole Building;Residential (Multi);New Build (Brownfield);6;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;4269423;4840320;5053431;4111302;309,2;350,5;366;297,7;207200;4,30%;15635767;2093745;43,30%;0;0;0,00%;1192569;2539376;52,50%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
248;Stage 2;SE17;21828;48,2;Whole Building;Residential (Multi);New Build (Brownfield);9;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;6343410;7226176;7557049;6215271;290,6;331,1;346,2;284,7;337400;4,70%;24436327;3272205;45,30%;0;0;0,00%;1698453;3616571;50,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
249;Stage 2;SE17;21828;48,2;Whole Building;Residential (Multi);New Build (Brownfield);11;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;1715475;2201849;2348389;2002830;78,6;100,9;107,6;91,8;337400;15,30%;6967839;933045;42,40%;0;0;0,00%;437416;931403;42,30%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
250;Stage 2;SE17;5221;13,3;Whole Building;Residential (Multi);New Build (Brownfield);11;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;1462990;1684170;1765623;1482921;280,2;322,6;338,2;284;93100;5,50%;6191482;829085;49,20%;0;0;0,00%;357852;761985;45,20%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
251;Stage 2;SE17;6600;8;Structure Only;Residential (Multi);New Build (Brownfield);6;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Lightweight/SFS;1399301;1636742;1725863;1489601;212;248;261,5;225,7;112000;6,80%;6630946;887933;54,20%;0;0;0,00%;299065;636810;38,90%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
252;Stage 2;SE17;27262;15;Structure Only;Residential (Multi);New Build (Brownfield);20;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Lightweight/SFS;7429859;8305875;8752543;7497620;272,5;304,7;321,1;275;210000;2,50%;35199024;4713409;56,70%;0;0;0,00%;1588510;3382466;40,70%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
253;Stage 5;TS23;1577;4;Whole Building;Industrial;New Build (Brownfield);3;No;None;Piles (Pile Caps);Ground Bearing RC;Steel Frame/Composite;Lightweight Only;332950;385296;405094;366045;211,1;244,3;256,9;232,1;28000;7,30%;1411296;194070;50,40%;0;0;0,00%;5341;11373;3,00%;3823;11867;3,10%;87595;139987;36,30%;0;0;0,00%;0;0;0,00%
254;Stage 3;BN1;1297;3,75;Whole Building;Mixed Use;Mixed New Build/Refurb;4;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Timber;Masonry Only;247925;285337;294878;243023;191,2;220;227,4;187,4;26250;9,20%;260293;34871;12,20%;0;0;0,00%;12000;25552;9,00%;0;0;0,00%;124000;198166;69,40%;1000;497;0,20%;0;0;0,00%
255;Stage 5;SW18;21;0,035;Structure Only;Residential (Single);Mixed New Build/Refurb;1;No;Full Footprint;Corbels;Timber;Other;Masonry Only;2387;3124;3381;3250;113,7;148,7;161;154,8;490;15,70%;18418;2280;73,00%;0;0;0,00%;166;353;11,30%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
256;Stage 3;N1;51;0,1;Whole Building;Residential (Single);Mixed New Build/Refurb;1;No;None;Other;Other;Steel Frame/Timber;Lightweight Only;3156;4281;4849;3965;61,9;83,9;95,1;77,8;700;16,40%;100;14;0,30%;0;0;0,00%;0;0;0,00%;0;0;0,00%;1478;2363;55,20%;847;300;7,00%;923;904;21,10%
257;Stage 5;NW6;37;0,1;Whole Building;Residential (Single);New Build (Greenfield);1;No;None;Reinforced Pads/Strips;Ground Bearing RC;Steel Frame/Timber;Glazed/Curtain Wall;5789;6961;7422;6530;156,5;188,1;200,6;176,5;700;10,10%;22937;2808;40,30%;0;0;0,00%;374;796;11,40%;0;0;0,00%;1573;2514;36,10%;287;143;2,00%;0;0;0,00%
258;Stage 2;W6;9453;20;Whole Building;Residential (Multi);New Build (Brownfield);9;No;Full Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;3190782;3611823;3780282;3266506;337,5;382,1;399,9;345,6;140000;3,90%;14550936;2087011;57,80%;0;0;0,00%;650350;1384812;38,30%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
259;Stage 3;NW3;212;0,4;Whole Building;Residential (Single);Mixed New Build/Refurb;3;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Timber;Masonry Only;9784;13553;15019;13264;46,2;63,9;70,8;62,6;2800;20,70%;37422;3840;28,30%;0;0;0,00%;636;1354;10,00%;0;0;0,00%;2923;4671;34,50%;596;296;2,20%;604;592;4,40%
260;Stage 3;OX4;75;1,1;Whole Building;Educational;Mixed New Build/Refurb;2;No;None;Piled Ground Beams;Suspended RC;Steel Frame/Timber;Timber Only;34199;50305;58315;46726;456;670,7;777,5;623;7700;15,30%;54493;7297;14,50%;0;0;0,00%;2535;5398;10,70%;0;0;0,00%;9540;15246;30,30%;29500;14664;29,20%;0;0;0,00%
261;Stage 3;TW8;21000;85;Whole Building;Residential (Multi);New Build (Brownfield);7;Yes;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;5802412;6916482;7287204;6317423;276,3;329,4;347;300,8;595000;8,60%;28256075;3588179;51,90%;0;0;0,00%;1147336;2443061;35,30%;0;0;0,00%;174474;278830;4,00%;0;0;0,00%;18900;11411;0,20%
262;Stage 3;TW8;240;1;Whole Building;Mixed Use;New Build (Brownfield);1;Yes;None;Piled Ground Beams;Suspended RC;Steel Frame/Timber;Other;199716;227523;242805;217304;832,1;948;1011,7;905,4;7000;3,10%;1257960;141573;62,20%;0;0;0,00%;22106;47071;20,70%;0;0;0,00%;14469;23124;10,20%;0;0;0,00%;14501;8755;3,80%
263;Stage 4;DE24;1000;1,6;Whole Building;Industrial;New Build (Brownfield);3;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Other;Lightweight Only;209727;238681;252962;226803;209,7;238,7;253;226,8;11200;4,70%;961363;128734;53,90%;0;0;0,00%;1552;3305;1,40%;6307;19578;8,20%;46141;73739;30,90%;4274;2125;0,90%;0;0;0,00%
264;Stage 3;CB2;750;4,5;Whole Building;Educational;New Build (Brownfield);3;No;None;Reinforced Pads/Strips;Ground Bearing RC;Timber Frame (Glulam/CLT);Timber/SFS;92151;144058;154340;125723;122,9;192,1;205,8;167,6;31500;21,90%;259894;31098;21,60%;0;0;0,00%;10393;22130;15,40%;0;0;0,00%;268;428;0,30%;212;105;0,10%;94281;58796;40,80%
265;Stage 5;RG20;195;0,5;Whole Building;Commercial;Mixed New Build/Refurb;1;No;None;Reinforced Pads/Strips;Other;Steel Frame/Timber;Masonry Only;37018;43283;46172;41976;189,8;222;236,8;215,3;3500;8,10%;160965;21554;49,80%;0;0;0,00%;3;7;0,00%;0;0;0,00%;10900;17419;40,20%;2268;803;1,90%;0;0;0,00%
266;Stage 3;OX49;175;0,5;Whole Building;Residential (Single);New Build (Greenfield);2;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Composite;Timber Only;60563;70649;77194;63355;346,1;403,7;441,1;362;3500;5,00%;231140;30951;43,80%;0;0;0,00%;8015;17067;24,20%;2420;7512;10,60%;3630;5801;8,20%;14319;5072;7,20%;0;0;0,00%
267;Stage 2;OX2;1416;13;Whole Building;Educational;New Build (Brownfield);6;Yes;Full Footprint;Piles (Pile Caps);Ground Bearing RC;Timber Frame (Glulam/CLT);Masonry Only;232317;371450;386369;312176;164,1;262,3;272,9;220,5;91000;24,50%;559371;71553;19,30%;0;0;0,00%;28896;61529;16,60%;1000;4729;1,30%;5796;9263;2,50%;0;0;0,00%;220902;133376;35,90%
268;Stage 3;PE21;3037;17,5;Whole Building;Healthcare;New Build (Brownfield);2;No;None;Piles (Pile Caps);Ground Bearing RC;Concrete (Precast);Masonry/SFS;799374;985558;1027869;878153;263,2;324,5;338,4;289,2;122500;12,40%;2993766;400789;40,70%;0;0;0,00%;143307;305148;31,00%;4663;14475;1,50%;89259;142646;14,50%;0;0;0,00%;0;0;0,00%
269;Stage 3;CV11;272;3,2;Whole Building;Cultural/Public;New Build (Brownfield);1;No;None;Piled Ground Beams;Suspended RC;Other;Other;154521;190597;199719;176658;568,1;700,7;734,3;649,5;22400;11,80%;785280;100533;52,70%;0;0;0,00%;25650;54617;28,70%;33;102;0,10%;8100;12945;6,80%;0;0;0,00%;0;0;0,00%
270;Stage 3;GU22;328;2,5;Whole Building;Educational;Mixed New Build/Refurb;3;No;None;Mass Pads/Strips;Suspended Precast;Timber Frame (Glulam/CLT);Masonry/SFS;56111;87974;95808;90219;171,1;268,2;292,1;275,1;17500;19,90%;269736;39311;44,70%;0;0;0,00%;564;1201;1,40%;0;0;0,00%;886;1415;1,60%;0;0;0,00%;40373;28547;32,40%
271;Stage 2;HP1;3039;7,6;Whole Building;Educational;New Build (Greenfield);3;No;None;Mass Pads/Strips;Ground Bearing RC;Timber Frame (Glulam/CLT);Masonry Only;368464;512823;556718;455951;121,2;168,7;183,2;150;53200;10,40%;1434410;168039;32,80%;0;0;0,00%;6499;13838;2,70%;0;0;0,00%;6150;9829;1,90%;3969;1973;0,40%;431110;265944;51,90%
272;Stage 2;KT13;23;0,3;Whole Building;Residential (Single);New Build (Greenfield);1;No;None;Other;Suspended RC;Steel Frame/Timber;Timber/SFS;5055;7604;7939;6886;219,8;330,6;345,2;299,4;2100;27,60%;12420;1663;21,90%;0;0;0,00%;621;1322;17,40%;0;0;0,00%;1322;2113;27,80%;225;112;1,50%;300;294;3,90%
273;Stage 2;SE15;2994;7,5;Whole Building;Residential (Multi);New Build (Greenfield);7;No;None;Piles (Pile Caps);Ground Bearing RC;Concrete (In-Situ);Masonry Only;637460;745603;783426;660004;212,9;249;261,7;220,4;52500;7,00%;2682995;359273;48,20%;0;0;0,00%;155495;331101;44,40%;0;0;0,00%;1708;2730;0,40%;0;0;0,00%;0;0;0,00%
274;Stage 2;SE15;3146;8;Whole Building;Residential (Multi);New Build (Greenfield);6;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/Stone;786221;910766;955134;799874;249,9;289,5;303,6;254,3;56000;6,10%;3258101;436284;47,90%;0;0;0,00%;196532;418482;45,90%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
275;Stage 2;SE15;4940;8;Whole Building;Residential (Multi);New Build (Greenfield);5;No;None;Piles (Pile Caps);Ground Bearing RC;Concrete (In-Situ);Masonry/Stone;1731479;1938806;2030487;1692893;350,5;392,5;411;342,7;56000;2,90%;7265239;972869;50,20%;0;0;0,00%;427334;909936;46,90%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0
