Project Ref;Calculation Design Stage;UK District;GIFA (m2);Project Value (œm);Value Type;Project Sector;Construction Type;Storeys (#);Passivhaus;Basement Type;Foundation Type;Ground Floor Type;Superstructure Type;Cladding Type;Carbon A1-A3 (kgCO2e);Carbon A1-A5 (kgCO2e);Carbon A1-C4 (kgCO2e);Carbon A1-D (kgCO2e);A1-A3 Rate (kgCO2e/m2);A1-A5 Rate (kgCO2e/m2);A1-C4 Rate (kgCO2e/m2);A1-D Rate (kgCO2e/m2);Construction Carbon (A1-A5) (kgCO2e);Construction % Carbon (A1-A5);Concrete Total Mass (kg);Concrete Total Carbon (A1-A5) (kgCO2e);Concrete % Carbon (A1-A5);Masonry & Blockwork Total Area (m2);Masonry & Blockwork Total Carbon (A1-A5) (kgCO2e);Masonry % Blockwork % Carbon (A1-A5);Reinforcement Total Mass (kg);Reinforcement Total Carbon (A1-A5) (kgCO2e);Reinforcement % Carbon (A1-A5);Steel (Other) Total Mass (kg);Steel (Other) Total Carbon (A1-A5) (kgCO2e);Steel (Other) % Carbon (A1-A5);Steel (Sections) Total Mass (kg);Steel (Sections) Total Carbon (A1-A5) (kgCO2e);Steel (Sections) % Carbon (A1-A5);Timber (Plain) Total Mass (kg);Timber (Plain) Total Carbon (A1-A5) (kgCO2e);Timber (Plain) % Carbon (A1-A5);Timber (Products) Total Mass (kg);Timber (Products) Total Carbon (A1-A5) (kgCO2e);Timber (Products) % Carbon (A1-A5)
113;As-Built;SE25;2100;8,5;Whole Building;Educational;New Build (Brownfield);1;No;None;Piles (Pile Caps);Suspended RC;Steel Frame/Other;Masonry Only;457731;555326;584536;468825;218;264,4;278,4;223,2;59500;10,70%;1392000;146933;26,50%;0;0;0,00%;73633;156789;28,20%;25275;78459;14,10%;71112;113645;20,50%;0;0;0,00%;0;0;0,00%
114;As-Built;NG7;15985;29;Whole Building;Educational;New Build (Brownfield);2;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Composite;Masonry/SFS;3597690;4035481;4292690;3686093;225,1;252,5;268,5;230,6;203000;5,00%;12941554;1307291;32,40%;0;0;0,00%;205828;438276;10,90%;0;0;0,00%;1305860;2086914;51,70%;0;0;0,00%;0;0;0,00%
115;As-Built;SE5;5705;5;Whole Building;Residential (Multi);New Build (Brownfield);4;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1328977;1480047;1556650;1297156;232,9;259,4;272,9;227,4;35000;2,40%;5548740;745223;50,40%;0;0;0,00%;328051;698529;47,20%;0;0;0,00%;643;1028;0,10%;538;267;0,00%;0;0;0,00%
116;Stage 5;NW6;3460;15;Whole Building;Educational;New Build (Brownfield);2;No;None;Piled Ground Beams;Suspended RC;Timber Frame (Glulam/CLT);Masonry Only;936764;1184002;1234827;1000809;270,7;342,2;356,9;289,3;105000;8,90%;2793100;374017;31,60%;0;0;0,00%;116327;247699;20,90%;0;0;0,00%;90435;144525;12,20%;0;0;0,00%;518007;312761;26,40%
117;Stage 5;E3;11500;27;Whole Building;Mixed Use;New Build (Brownfield);8;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;2784242;3224102;3397916;2948690;242,1;280,4;295,5;256,4;189000;5,90%;13546632;1824276;56,60%;0;0;0,00%;568641;1210826;37,60%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
118;Stage 5;E3;9483;27;Whole Building;Mixed Use;New Build (Brownfield);10;No;None;Piles (Pile Caps);Ground Bearing RC;Concrete (In-Situ);Other;2608332;3036346;3203044;2822950;275,1;320,2;337,8;297,7;189000;6,20%;13612812;1822856;60,00%;0;0;0,00%;481132;1024490;33,70%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
119;As-Built;HA9;31774;90;Whole Building;Residential (Multi);New Build (Brownfield);19;No;Full Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);SFS/Stone;9339628;10796889;11337268;10082453;293,9;339,8;356,8;317,3;630000;5,80%;46616049;6649272;61,60%;0;0;0,00%;1502864;3200098;29,60%;0;0;0,00%;198684;317520;2,90%;0;0;0,00%;0;0;0,00%
120;Stage 5;E2;2276;7;Whole Building;Mixed Use;New Build (Brownfield);7;No;Full Footprint;Raft;Raft;Other;Masonry/Stone;581091;702367;732403;595064;255,3;308,6;321,8;261,5;49000;7,00%;1916136;271791;38,70%;0;0;0,00%;120324;256210;36,50%;0;0;0,00%;10296;16454;2,30%;0;0;0,00%;180384;108912;15,50%
121;Stage 5;SE18;11736;36;Whole Building;Educational;New Build (Brownfield);4;No;None;Piles (Pile Caps);Suspended RC;Steel Frame/Composite;Masonry/SFS;3675905;4186672;4343413;3613337;313,2;356,7;370,1;307,9;252000;6,00%;10094000;1375628;32,90%;0;0;0,00%;331164;705158;16,80%;112255;348462;8,30%;942000;1505424;36,00%;0;0;0,00%;0;0;0,00%
122;Stage 3;CB1;4115;12;Whole Building;Educational;New Build (Brownfield);4;No;None;Piled Ground Beams;Suspended RC;Other;Other;636748;883243;924112;700834;154,7;214,6;224,6;170,3;84000;9,50%;1195570;172862;19,60%;0;0;0,00%;53073;113011;12,80%;0;0;0,00%;6000;9589;1,10%;0;0;0,00%;834000;503782;57,00%
